epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5137.96,0.7623,0.38943,1.051,0.99645,0.99094,0.99416,0.82607,0.69086,0.30689,1.01363,0.00098525,0.00098525,0.00098525
43,5259.99,0.76324,0.38685,1.05281,0.99447,0.9924,0.99407,0.83186,0.68873,0.30433,1.00712,0.0009605,0.0009605,0.0009605
44,5382.12,0.74913,0.38785,1.04131,0.9933,0.99296,0.9941,0.83167,0.69404,0.30959,1.01028,0.00093575,0.00093575,0.00093575
45,5504.21,0.75057,0.38415,1.04267,0.99565,0.99259,0.99427,0.83541,0.68852,0.29978,1.00712,0.000911,0.000911,0.000911
46,5626.22,0.73757,0.37766,1.03892,0.99409,0.99452,0.99448,0.83606,0.67797,0.29866,0.99997,0.00088625,0.00088625,0.00088625
47,5748.49,0.74392,0.38422,1.0397,0.99566,0.99409,0.9942,0.83546,0.6771,0.29992,1.00245,0.0008615,0.0008615,0.0008615
48,5870.64,0.73904,0.37611,1.03593,0.99437,0.99291,0.9942,0.84116,0.67518,0.29263,1.00459,0.00083675,0.00083675,0.00083675
49,5992.79,0.74293,0.37402,1.04145,0.99408,0.99294,0.99398,0.84105,0.6694,0.2941,1.00135,0.000812,0.000812,0.000812
50,6114.88,0.73482,0.36888,1.03683,0.99409,0.99394,0.99426,0.84663,0.66197,0.28702,0.9944,0.00078725,0.00078725,0.00078725
51,6236.95,0.72621,0.36939,1.03298,0.99098,0.99579,0.99387,0.848,0.65456,0.28883,0.99301,0.0007625,0.0007625,0.0007625
52,6359.28,0.72205,0.36643,1.03756,0.99442,0.99212,0.99424,0.84632,0.65007,0.28978,0.99143,0.00073775,0.00073775,0.00073775
53,6481.36,0.72209,0.36536,1.02851,0.99565,0.99249,0.99437,0.84601,0.64235,0.28067,0.98958,0.000713,0.000713,0.000713
54,6603.35,0.71073,0.36091,1.02981,0.99448,0.99362,0.99434,0.84613,0.64643,0.28725,0.99029,0.00068825,0.00068825,0.00068825
55,6725.48,0.71226,0.35746,1.02821,0.99473,0.99409,0.9944,0.84982,0.63645,0.27732,0.98915,0.0006635,0.0006635,0.0006635
56,6847.69,0.7015,0.35144,1.02514,0.99522,0.9933,0.9944,0.85118,0.63113,0.27601,0.98331,0.00063875,0.00063875,0.00063875
57,6969.84,0.69945,0.37562,1.02303,0.99267,0.99606,0.99414,0.85329,0.62943,0.27389,0.98265,0.000614,0.000614,0.000614
58,7091.94,0.69792,0.35439,1.02008,0.99634,0.9937,0.99432,0.85069,0.63087,0.2761,0.98253,0.00058925,0.00058925,0.00058925
59,7214.04,0.69908,0.34944,1.02114,0.99617,0.99409,0.99443,0.85515,0.6183,0.27369,0.98344,0.0005645,0.0005645,0.0005645
60,7336.2,0.69417,0.34836,1.02136,0.99477,0.99251,0.99442,0.85643,0.62186,0.27583,0.98167,0.00053975,0.00053975,0.00053975
61,7458.2,0.68895,0.34565,1.02111,0.99527,0.99409,0.99449,0.85842,0.61462,0.26905,0.98017,0.000515,0.000515,0.000515
62,7580.29,0.6913,0.33958,1.02006,0.99301,0.99527,0.99424,0.8585,0.61124,0.27028,0.97889,0.00049025,0.00049025,0.00049025
63,7702.44,0.68194,0.33876,1.02011,0.99488,0.99581,0.99446,0.86199,0.61033,0.26765,0.98073,0.0004655,0.0004655,0.0004655
64,7824.51,0.68504,0.34029,1.01969,0.99645,0.99413,0.99437,0.86221,0.60728,0.26802,0.97984,0.00044075,0.00044075,0.00044075
65,7946.51,0.67287,0.33682,1.01754,0.99578,0.99448,0.99427,0.86154,0.6049,0.26601,0.97819,0.000416,0.000416,0.000416
66,8068.53,0.66353,0.33296,1.01302,0.99684,0.99544,0.99418,0.86029,0.60111,0.26594,0.97781,0.00039125,0.00039125,0.00039125
67,8190.68,0.66987,0.32994,1.01393,0.99668,0.9937,0.99439,0.86388,0.5964,0.26287,0.97193,0.0003665,0.0003665,0.0003665
68,8312.83,0.65663,0.32606,1.00524,0.99527,0.99552,0.99435,0.86335,0.5911,0.25855,0.97163,0.00034175,0.00034175,0.00034175
69,8434.94,0.6687,0.32557,1.01608,0.99645,0.99544,0.99434,0.86468,0.59219,0.26023,0.97103,0.000317,0.000317,0.000317
70,8557.08,0.65547,0.32442,1.007,0.99695,0.99527,0.99436,0.86703,0.58649,0.25749,0.96788,0.00029225,0.00029225,0.00029225
71,8691.64,0.59047,0.26523,0.9755,0.99605,0.99441,0.9941,0.86533,0.57873,0.25788,0.96701,0.0002675,0.0002675,0.0002675
72,8813.43,0.57681,0.25638,0.96712,0.99594,0.99685,0.99443,0.87058,0.57588,0.25531,0.96689,0.00024275,0.00024275,0.00024275
73,8935.23,0.57612,0.25482,0.96485,0.99488,0.99594,0.99438,0.87122,0.5767,0.25399,0.96806,0.000218,0.000218,0.000218
74,9056.99,0.56969,0.25358,0.96579,0.99392,0.99645,0.99431,0.87341,0.57461,0.25558,0.96722,0.00019325,0.00019325,0.00019325
75,9178.69,0.56044,0.2498,0.96846,0.99583,0.99645,0.99423,0.87562,0.56931,0.25342,0.96716,0.0001685,0.0001685,0.0001685
76,9300.42,0.55634,0.24811,0.9568,0.99437,0.99645,0.99442,0.87593,0.5614,0.25004,0.96318,0.00014375,0.00014375,0.00014375
77,9422.21,0.5548,0.24624,0.95757,0.99489,0.99637,0.99443,0.87611,0.55916,0.24759,0.9607,0.000119,0.000119,0.000119
78,9543.98,0.5527,0.24412,0.95901,0.99448,0.99645,0.99437,0.87704,0.5603,0.24672,0.95904,9.425e-05,9.425e-05,9.425e-05
79,9665.78,0.54619,0.24562,0.95755,0.99458,0.99645,0.99435,0.87919,0.55607,0.24625,0.95655,6.95e-05,6.95e-05,6.95e-05
80,9787.63,0.54475,0.24077,0.95512,0.99445,0.99645,0.99436,0.87952,0.55509,0.2463,0.95694,4.475e-05,4.475e-05,4.475e-05
